68783291,閃電衝擊MAX
93804706,系統system
104198720,pJ就4我
165814220,反智文添愛反手
503561197,eslsi
3011146,LastRain
4746458,無名小雄
70723259,SupMeCarryU
85065553,SUPER王牙
95680338,厄斐琉斯
89056172,Kenny_Hero
96256837,督堵督嚕
318349120,庭好的
435750926,EmersonAndAsuna
529957847,wmvhqbfqo
21378570,清晨搭起小帳篷
62449448,God_Bless_KTboy
104270517,最後一場贏了再睡
235353350,整天白目中OuO
77809719,國際涼圓大使
96555951,神速寶寶
105332098,Hellohihihahaha
264465070,楊海生
272361005,龍紋貓
73428841,放下你的壞情緒
212753181,瀚寶寶台服02
225171190,花雨約定再看一遍
478875806,S h e e s h
1880239,咻嘛啾
80171395,麻美是新世界的神
88566367,結晶易碎
109474727,lÄÖÄl
275639575,咻嘛啾2
6531401,中路阿璃沒一個強
72955648,十二恨天下無敵
83612109,SinüOfüZadkiel
84888455,Let You Know
216993246,聖誕節的無私願望
68069396,uulove
70393424,啦啦班
97276852,CkeNone
116167798,朱晉岑 3
524237404,萩萩愛吃布丁
57850176,別再欺負玻璃心
71259523,胡蘿蔔將軍
73199463,簡簡簡
50424970,ATX 0
87088514,NESCIENT
104261395,北極海鸚
119347500,柴魚配飯
374879553,李銘曜
81764566,柔依小妹妹
339529830,Poueahra
428441409,小獅神
73805711,跟我保持社交距離
75644865,Show04
87826065,夏天也有雪
89569072,我在天台等俊瑋
209610819,可能我不再是我
96002176,月色風高ã殺人夜
96483959,VVSyukeebaby
122029957,普朗文船長
81068944,初代 場地圭介
138503880,鯨吞亂舞
187322050,英文戰士
463563059,PSG Water
98728073,THB Sanrakwol
160307499,心已死好難受QAQ
476513225,華商會計系系花
3956128,Silenzio Bruno
105208315,人情如紙薄
503798208,卵巢oo
17368632,客套怪客
61850904,尊重友善包起來ü
135488606,太神啦中哥
262813673,johnnyyip123
428429383,立志170
85848268,toss coin to win
66189982,不想ö肚子餓
76290616,FIZZshingTIME
87633677,Jery
506046556,蔣友柏
67483276,頂天立地好男人
71911690,安迪雄
80452653,Lova
505748155,小梅子
537871287,台服o海鮮王
194133293,嵐穆緋
500433306,和尚仔晾底褲
529076564,husbl
80841891,Dee0714
81286008,小ööö帥ööö弟
89079538,LighRtoCuhasor
89864309,狗奴01
524496619,nkbpzr
90362445,Joking
263090870,JugleMagnetü
546477347,冷曦許
66515035,Only
71716262,今貝口肯大可
77754169,黑色的泡沫
78274519,我這樣就
105057097,只會吸奶
88465846,打得好啊  小寶
182928985,The Star 17
282953896,KevinCC
11904281,聖女小番茄c
85637455,傻逼才儲值
173485282,蛤拉參熊幾累
21491286,笑定千秋御不凡
73975257,大俠愛吃憨堡包
153553837,ÕwÕÔwÔÖwÖÔwÔÕwÕ
159383170,johnny921
83146327,Megum
96789550,OriannaKingqq
99151838,改個名字換換手氣
103037686,Destiny_神迪
480621653,理工男戰神
5121575,Googlemaps
117498432,Hang1in
427279761,江晚吟
15857076,EmiyaShirou
71643426,撻左Q
99327694,五月花說NMSL
104201955,五蛹海尼根
106272739,斜線all GG
102118897,你媽真便宜
139579146,剛果蛋蛋
243038106,誰能比我更中二
3199081,旭日微光
85220843,yiuwinggg
91033904,Ü權志龍獸Ü
311390704,823你爸死了
479196291,IracWmM
73809596,MujanVacnat
251336582,約翰瑪斯坦
425858931,振聲木牌仔
45293715,Sarah Aslan
160477581,Aidan_Niex
170532297,Alo Help Me
134583499,oO淚月x橋Oo
194530561,1下去2自己凱瑞
203278481,一個OuO的概念
207699165,PC1314
208614444,人無情才算花心ü
68971621,傑森的徒弟
79821105,ZOEK1NG
152391300,zz雪狼zz
169615646,保隊友的輔助
53620813,蒙面瘋狗伊芙琳
85986244,Rikurou
141828659,老雞雞大菜播
292682201,當隊友說笑死沒差
327971268,oYoNe詠
79731920,RadioCaca
88174962,對面都是插標賣首
95138268,適合化妝的日子
21901574,TDEM
78860397,辛吉得不償失
88256442,Mycowbayü
122108314,見習打野
195291694,魔法辣妹真真OwOb
24470894,薑屍炒大腸
81249464,花泥小姐
86487229,星星好閃好亮e_e
148804734,大雕愛吃漢堡堡
58507666,偽善最樂
67604432,地盤之猛尻
74680894,金剛x變形
167600600,唔該收聲咪嘈
167803099,2B高班茂木夏樹
6626069,你就是咕咕雞
89478807,妮妮可
89957471,要說柔妤最可愛
91600154,粉末太多
103397173,沒有夢想鹹魚一條
74345266,半指溫柔沙ç
136799397,廷昊是我babe
40611052,台中陳冠c
73686128,保家衛國動起來
121150930,LoXuS3TEOTS
165211041,otboi
272069897,尼GURA特斯拉
68028315,炒股小妹
26507612,大獲中的小兵
98927010,先說好我來躺的
109510887,澍蛙孤逃
